
 Lista de Imóveis da Caixa;;Data de geração:;10/06/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555525841177 ;SP ;ADAMANTINA ;SUBDISTRITO DE PERDI ;RUA PARINTINS, N. 58 ;736.460,40;1.326.000,00;44.46;Casa, 0.00 de área total, 260.00 de área privativa, 232.51 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555525841177
 10177903 ;SP ;ADAMANTINA ;ADAMANTINA ;RUA SANTO ANDRÉ, N. 98, Nº 160 NO LOCAL - BAIRRO TERRA PRETA ;540.000,00;540.000,00;0.00;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 800.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177903
 8444400820782 ;SP ;ADAMANTINA ;RES NOVO HORIZONTE ;RUA OSVALDO TEMPORIM (ANTIGA RUA 3), N. 37, LT 07, QD C ;135.000,00;135.000,00;0.00;Casa, 0.00 de área total, 64.70 de área privativa, 278.37 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400820782
 10171971 ;SP ;ADAMANTINA ;CONDOMINIO RESIDENCIAL PORTUGAL ;ALAMEDA BRAGA 9ANTIGA ALAMEDA A), N. SN, QD A, LT 2 ;155.000,00;155.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 392.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171971
 8555519417227 ;SP ;ADOLFO ;CENTRO ;AVENIDA RAFAEL FERREIRA FORTE, N. SN, QUADRA A ;132.000,00;132.000,00;0.00;Casa, 0.00 de área total, 35.72 de área privativa, 178.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519417227
 8787701975796 ;SP ;AGUDOS ;VALE DOS PINHEIROS ;RUA AIDE DO CARMO PRADO, N. 25, LT 28 QD C ;207.000,00;207.000,00;0.00;Casa, 0.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701975796
 1444404148339 ;SP ;ALTAIR ;CENTRO ;RUA CINCO N 274 LOTE N09 QUADRA K, N. 274, LT 09 QD K ;103.360,00;160.000,00;35.40;Casa, 0.00 de área total, 200.00 de área privativa, 800.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404148339
 8787708866704 ;SP ;ALTINOPOLIS ;FIGUEIREDO FELIPPE ;RUA SEIS, N. 330, LT 31 QD 14 ;116.000,00;116.000,00;0.00;Casa, 0.00 de área total, 46.10 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708866704
 8444414884907 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA SILVIO ROMERO, N. 817 ;105.000,00;105.000,00;0.00;Casa, 0.00 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414884907
 8444409157504 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA MARTINS PENA, N. 741, LT 18A ;152.000,00;152.000,00;0.00;Casa, 0.00 de área total, 59.95 de área privativa, 126.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409157504
 1444419719060 ;SP ;ALVARES MACHADO ;RES PORTINARI II ;RUA DAS ACACIAS, N. 107, QD J, LT 06 ;1.060.676,95;1.000.000,00;0.00;Casa, 0.00 de área total, 179.43 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419719060
 8444425430511 ;SP ;ALVARES MACHADO ;CENTRO ;RUA  ALCIDES MORANI, N. SN, LT 7B QD N ;135.806,91;58.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425430511
 8787705969243 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 202, BL 30 GB A3B ;107.400,00;179.000,00;40.00;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705969243
 8555534668383 ;SP ;AMERICANA ;JARDIM TERRAMERICA I ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 404, 3PAV BL 01 ;101.400,00;169.000,00;40.00;Apartamento, 96.66 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534668383
 8555538563020 ;SP ;AMERICANA ;CARIOBINHA ;RUA RUA SAO SIMAO, N. 265, Apto 32A, 3 ANDAR BL A VAGA 26 ;119.600,00;184.000,00;35.00;Apartamento, 0.00 de área total, 45.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538563020
 10147313 ;SP ;AMERICANA ;CIDADE JARDIM II ;RUA DAS IMBUIAS, N. 1093, QUADRA 50, LOTE 27 ;325.650,00;501.000,00;35.00;Casa, 0.00 de área total, 117.45 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10147313
 8787706237416 ;SP ;AMERICANA ;JARDIM SÃO LUIZ ;RUA RUA SABEDORIA, N. 130, Apto 24, 3 PAVIMENTO  2 ANDAR BL 01 ;109.442,61;156.346,59;30.00;Apartamento, 0.00 de área total, 44.52 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706237416
 8555536228003 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 154, BLOCO 1 ;173.337,42;240.000,00;27.78;Apartamento, 0.00 de área total, 51.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536228003
 8555534987810 ;SP ;AMERICANA ;CARIOBINHA ;RUA SAO SEBASTIAO, N. 845, Apto 06C, BL C  VG 290 ;169.500,00;226.000,00;25.00;Apartamento, 65.05 de área total, 44.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534987810
 8555535716039 ;SP ;AMERICANA ;CARIOBA ;RUA SAO SEBASTIAO, N. 845, Apto 144A, 14 ANDAR BL A ;227.000,00;227.000,00;0.00;Apartamento, 64.74 de área total, 0.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535716039
 8787705580214 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 204, BL 25 ;180.151,39;180.151,39;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705580214
